id,name,sire_line_base_id,base_abbr
1,エクリプス系,1,Ec
2,ファラリス系,2,Ph
3,ファロス系,2,Ph
4,ネアルコ系,2,Ph
5,ナスルーラ系,3,Ns
6,グレイソヴリン系,3,Ns
7,ソヴリンパス系,3,Ns
8,フォルティノ系,3,Ns
9,ゼダーン系,3,Ns
10,ネヴァーセイダイ系,3,Ns
11,プリンスリーギフト系,3,Ns
12,ボールドルーラー系,3,Ns
13,レッドゴッド系,3,Ns
14,ネヴァーベンド系,3,Ns
15,ロイヤルチャージャー系,4,Ro
16,ヘイルトゥリーズン系,4,Ro
17,サーゲイロード系,4,Ro
18,ハビタット系,4,Ro
19,ダンテ系,2,Ph
20,モスボロー系,2,Ph
21,ニアークティック系,5,Ne
22,ノーザンダンサー系,5,Ne
23,ファリス系,2,Ph
24,ネイティヴダンサー系,6,Na
25,エタン系,6,Na
26,レイズアネイティヴ系,6,Na
27,フェアウェイ系,7,Fa
28,フェアトライアル系,7,Fa
29,トムフール系,8,To
30,テディ系,9,Te
31,スインフォード系,10,Sw
32,ブランドフォード系,10,Sw
33,ブレニム系,10,Sw
34,ブラントーム系,10,Sw
35,ハンプトン系,11,Ha
36,サンインロー系,11,Ha
37,ファイントップ系,11,Ha
38,ハイペリオン系,11,Ha
39,オーエンテューダー系,11,Ha
40,ロックフェラ系,11,Ha
41,カーレッド系,11,Ha
42,オリオール系,11,Ha
43,ヒムヤー系,12,Hi
44,セントサイモン系,13,St
45,プリンスローズ系,13,St
46,プリンスキロ系,13,St
47,プリンスビオ系,13,St
48,ボワルセル系,13,St
49,リボー系,13,St
50,ワイルドリスク系,13,St
51,マッチェム系,14,Ma
52,マンノウォー系,14,Ma
53,レリック系,14,Ma
54,インテント系,14,Ma
55,ヘロド系,15,He
56,トウルビヨン系,15,He
57,クラリオン系,15,He
58,マイバブー系,15,He
